epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.1132,2.00636,2.57035,2.01774,0.07078,0.05236,0.01121,0.00218,3.98018,31.5286,5.91306,0.070184,0.00331288,0.00331288
2,67.8542,2.20291,2.64244,2.22943,0.00367,0.32984,0.00255,0.00068,3.44119,121.818,4.36273,0.0388681,0.00533027,0.00533027
3,96.911,2.08695,2.46518,2.08538,0.31574,0.45026,0.29245,0.1002,2.08363,7.40684,2.23066,0.00623215,0.00602765,0.00602765
4,126.107,1.90951,2.30332,1.96183,0.31756,0.4434,0.30722,0.11712,1.82713,3.12271,2.02233,0.00406,0.00406,0.00406
5,155.083,1.84877,2.21368,1.88323,0.41108,0.40314,0.36132,0.15925,1.74647,2.41369,1.86809,0.00208,0.00208,0.00208
1,56.3219,2.45543,2.95682,2.44002,4e-05,0.01047,2e-05,1e-05,nan,nan,nan,0.070184,0.00331288,0.00331288
2,102.078,2.52264,3.09364,2.61542,0.03334,0.01047,0.00291,0.00081,nan,nan,nan,0.0388681,0.00533027,0.00533027
3,148.274,2.34442,2.94476,2.39799,0.17159,0.22513,0.1109,0.03497,2.64298,3.75751,2.90917,0.00623215,0.00602765,0.00602765
4,195.5,2.20357,2.83525,2.29624,0.08562,0.3822,0.05793,0.01717,2.42314,15.2554,2.69884,0.00406,0.00406,0.00406
5,241.428,2.1571,2.67681,2.172,0.28568,0.29734,0.24695,0.07974,2.09685,3.32535,2.21363,0.00208,0.00208,0.00208
1,38.8787,2.16693,2.62032,2.09773,0.00876,0.01047,0.00666,0.00148,3.53073,3.65869,5.12868,0.0703659,0.00329268,0.00329268
2,79.0976,2.18531,2.62077,2.17134,0.13163,0.15707,0.06487,0.01836,3.18535,5.26588,3.48601,0.0381793,0.00443943,0.00443943
3,115.655,2.05562,2.43945,2.01178,0.28697,0.36649,0.2397,0.0857,2.36067,2.57836,2.40488,0.00379268,0.00338618,0.00338618
1,59.0444,2.16886,2.62727,2.31347,0.2075,0.33508,0.16595,0.04865,2.45738,3.74855,2.82216,0.070184,0.00331288,0.00331288
2,118.449,2.17637,2.68448,2.32505,0.03752,0.10471,0.01386,0.00365,3.06653,7.27737,3.17027,0.0400196,0.00648172,0.00648172
3,177.793,2.11867,2.60451,2.26584,0.10935,0.31414,0.08638,0.02426,2.33172,3.50831,2.63051,0.00969006,0.00948556,0.00948556
4,237.764,2.09494,2.51273,2.24184,0.21933,0.32214,0.19106,0.06727,2.13585,3.82416,2.42831,0.0092575,0.0092575,0.0092575
5,299.402,2.05852,2.48335,2.18117,0.21203,0.28796,0.1957,0.06845,2.16672,4.00365,2.46224,0.00901,0.00901,0.00901
6,363.52,2.00822,2.40271,2.12986,0.22275,0.40314,0.20355,0.07661,2.01403,2.72367,2.3043,0.0087625,0.0087625,0.0087625
7,431.333,1.93035,2.3196,2.08342,0.21617,0.34555,0.17941,0.06619,2.0338,5.02411,2.35662,0.008515,0.008515,0.008515
8,495.872,1.96795,2.36867,2.10186,0.25036,0.33508,0.2084,0.07718,1.94799,3.82321,2.28142,0.0082675,0.0082675,0.0082675
9,559.882,1.92031,2.34746,2.05786,0.4224,0.41885,0.35644,0.13721,1.99675,3.25151,2.27328,0.00802,0.00802,0.00802
10,623.285,1.90253,2.28397,2.03591,0.36069,0.49738,0.34579,0.15625,1.81691,2.71511,2.14695,0.0077725,0.0077725,0.0077725
11,686.417,1.83158,2.21487,1.98963,0.39862,0.50262,0.36774,0.14818,1.84755,2.77907,2.12322,0.007525,0.007525,0.007525
12,749.812,1.82399,2.15388,1.9631,0.3414,0.50262,0.32286,0.13354,1.87234,2.96896,2.16121,0.0072775,0.0072775,0.0072775
13,814.449,1.82563,2.16965,1.93153,0.37236,0.44503,0.34754,0.15994,1.71339,2.16006,2.05119,0.00703,0.00703,0.00703
14,877.308,1.79419,2.16393,1.94666,0.39852,0.40934,0.3285,0.13509,1.75599,4.47375,2.10212,0.0067825,0.0067825,0.0067825
15,941.535,1.75213,2.17174,1.92757,0.40785,0.46073,0.38589,0.16514,1.72945,3.36972,2.10329,0.006535,0.006535,0.006535
16,1004.65,1.76381,2.11021,1.90694,0.42729,0.47644,0.41747,0.18034,1.69086,2.30677,1.99951,0.0062875,0.0062875,0.0062875
17,1067.59,1.76844,2.06677,1.9191,0.40776,0.48168,0.35189,0.14775,1.83628,4.12923,2.1653,0.00604,0.00604,0.00604
18,1132.1,1.70838,2.03904,1.88026,0.46165,0.50262,0.44016,0.22453,1.60659,2.40217,1.92426,0.0057925,0.0057925,0.0057925
19,1193.53,1.66646,2.02303,1.84895,0.48669,0.49738,0.45101,0.22294,1.56259,2.3454,1.9124,0.005545,0.005545,0.005545
20,1254.37,1.65794,1.94555,1.85883,0.34325,0.5288,0.37697,0.18722,1.59018,2.17047,1.93955,0.0052975,0.0052975,0.0052975
21,1315.17,1.69086,1.96856,1.85878,0.4969,0.51195,0.47291,0.21759,1.63699,2.07086,1.94053,0.00505,0.00505,0.00505
22,1376.15,1.63827,1.91934,1.80295,0.51705,0.55493,0.48552,0.25234,1.53615,1.99529,1.86689,0.0048025,0.0048025,0.0048025
23,1437.22,1.6377,1.92606,1.80671,0.45156,0.59162,0.47005,0.23038,1.57536,2.08487,1.9243,0.004555,0.004555,0.004555
24,1498,1.60091,1.85858,1.78385,0.53993,0.5445,0.52837,0.25272,1.57226,2.12507,1.89119,0.0043075,0.0043075,0.0043075
25,1558.97,1.62385,1.85308,1.78515,0.53821,0.53403,0.48853,0.23568,1.61958,1.98719,1.93259,0.00406,0.00406,0.00406
26,1619.91,1.57222,1.83674,1.75235,0.46481,0.57592,0.47723,0.21629,1.60084,1.99685,1.9671,0.0038125,0.0038125,0.0038125
27,1680.89,1.59537,1.89599,1.80596,0.52935,0.54175,0.48297,0.25291,1.53762,1.92399,1.87991,0.003565,0.003565,0.003565
28,1741.68,1.52245,1.76635,1.7273,0.50681,0.60733,0.55462,0.29747,1.44554,1.7127,1.78297,0.0033175,0.0033175,0.0033175
29,1802.92,1.55619,1.81698,1.7502,0.51711,0.57068,0.57086,0.29912,1.44805,1.83735,1.78667,0.00307,0.00307,0.00307
30,1863.66,1.51363,1.77498,1.71872,0.48175,0.65969,0.5859,0.3174,1.41279,1.71573,1.74995,0.0028225,0.0028225,0.0028225
31,1923.59,1.56187,2.0173,1.92123,0.56322,0.60209,0.57429,0.30281,1.45074,1.80473,1.77444,0.002575,0.002575,0.002575
32,1983.56,1.55498,1.80701,1.90328,0.52561,0.58115,0.54143,0.28845,1.44466,1.62348,1.81378,0.0023275,0.0023275,0.0023275
33,2043.27,1.50868,1.9634,1.86803,0.51332,0.62827,0.52866,0.29278,1.45512,1.92359,1.81214,0.00208,0.00208,0.00208
34,2103.12,1.53367,1.76085,1.91086,0.55473,0.59162,0.53523,0.27969,1.45911,1.78773,1.83869,0.0018325,0.0018325,0.0018325
35,2162.87,1.46737,1.72902,1.8712,0.57484,0.58115,0.54424,0.29495,1.39725,1.5875,1.76371,0.001585,0.001585,0.001585
36,2222.53,1.45418,1.70852,1.84654,0.5891,0.64398,0.57609,0.29539,1.51004,1.72536,1.86701,0.0013375,0.0013375,0.0013375
37,2282.38,1.45598,1.63926,1.84605,0.57713,0.62304,0.5902,0.33266,1.40091,1.49478,1.79045,0.00109,0.00109,0.00109
